task,arm,metric,mean,sd,hz,hz_sd,seeds
emotion,nods_50hz,macro_f1_emotion,0.40439076299978655,0.060439458741526175,50.0,0.0,3
emotion,fixed_25hz,macro_f1_emotion,0.4217169963890016,0.023240256078920992,25.110092759132385,0.0,3
emotion,fixed_10hz,macro_f1_emotion,0.4337923801017642,0.03257620548483453,10.191283375024796,0.0,3
emotion,fixed_5hz,macro_f1_emotion,0.41894973431036253,0.03272779677309011,5.197164788842201,0.0,3
emotion,learned_frozen,macro_f1_emotion,0.43090955448600093,0.003584945624231061,8.56056958436966,0.0,3
emotion,learned_grpo,macro_f1_emotion,0.43755495224767516,0.04398999321640047,4.148461793859799,0.30383156035619624,3
speaker_count,nods_50hz,acc_speaker_count,0.7241666666666667,0.06858632030757543,50.0,0.0,3
speaker_count,fixed_25hz,acc_speaker_count,0.7735,0.05884513573779907,25.100401043891907,0.0,3
speaker_count,fixed_10hz,acc_speaker_count,0.7348333333333333,0.021096998206695996,10.04016250371933,0.0,3
speaker_count,fixed_5hz,acc_speaker_count,0.7361666666666666,0.033934986862135856,5.020081251859665,0.0,3
speaker_count,learned_frozen,acc_speaker_count,0.7285,0.010758717395675044,10.57349368929863,0.0,3
speaker_count,learned_grpo,acc_speaker_count,0.724,0.01237941840313999,9.849966565767923,0.18818961341186619,3
intent,nods_50hz,acc_intent,0.9942877229985061,0.0016743614450529887,50.0,0.0,3
intent,fixed_25hz,acc_intent,0.9951665348448897,0.00030442935364600375,25.096172094345093,0.0,3
intent,fixed_10hz,acc_intent,0.9946392477370595,0.0004027221807677059,10.18345132470131,0.0,3
intent,fixed_5hz,acc_intent,0.9945513665524212,0.0013529136407716478,5.190598964691162,0.0,3
intent,learned_frozen,acc_intent,0.9941119606292292,0.0009258857327403824,7.549402862787247,0.0,3
intent,learned_grpo,acc_intent,0.992617980490377,0.0027901411136985227,6.84756338596344,1.0449716167462615,3
